series_id,fund_name,lei,isin,isin_source,figi,share_class_figi,figi_ticker,class_id,class_name,resolution
S000079611,JPMorgan BetaBuilders Emerging Markets Equity ETF,549300WEJ5UQZ8KRFS08,US46654Q8078,SEC-NPORT,BBG01FY5GRT8,BBG01FY5GSN2,BBEM,,,unresolved
S000079625,Voya VACS Series EMHCD Fund,549300F0L4T7FY2BWJ84,US92919X1046,SEC-NPORT,BBG01BHJTDZ6,BBG01BJLZWW3,VVIQX,,,unresolved
S000079626,Voya VACS Series SC Fund,549300WMAVLRYOGXL523,US92919X2036,SEC-NPORT,BBG01BHJTF09,BBG01BJM0Y82,VVIRX,,,unresolved
S000079627,Voya VACS Series HYB Fund,549300IKJ54WGTW8EU42,US92913L2622,SEC-NPORT,BBG01BHJTF18,BBG01BJQLN02,VVITX,,,unresolved
S000079628,Voya VACS Series EME Fund,549300PKJ5GJMNQRQ932,US92913W3593,SEC-NPORT,BBG01BHJTDY7,BBG01BJBZ0N5,VVIFX,,,unresolved
S000079664,VanEck Robotics ETF,54930005LHA0TK9A7524,US92189Y4026,SEC-NPORT,BBG01G4HTD10,BBG01G4HTDW6,IBOT,,,unresolved
S000079702,Return Stacked Bonds & Managed Futures ETF,549300RDT2JBHAXWFP12,US88636J1051,GLEIF,BBG01F3PB1F5,BBG01F3PB2L6,RSBT,,,unresolved
S000079705,Bitwise Trendwise Bitcoin and Treasuries Rotation Strategy ETF,549300JSEQ2C9KN8A350,US0917482020,GLEIF,BBG01FZQP5S0,BBG01FZQP6S8,BITC,,,unresolved
S000079716,PIMCO Commodity Strategy Active Exchange-Traded Fund,549300FW8J0DNOBABK03,US72201R5937,SEC-NPORT,BBG01G446S02,BBG01G446SV8,CMDT,,,unresolved
S000079720,GMO U.S. Opportunistic Value Fund,549300D1IT1TGIT5NX36,US36256V4370,SEC-NPORT,BBG01F5X8464,BBG01F6Q8XL7,UUOAX,,,unresolved
S000079726,AST J.P. Morgan Fixed Income Central Portfolio,549300GMPRFOKDNCEZ38,US00771J4519,GLEIF,,,,,,unresolved
